Time,Time Code,Country Name,Country Code,Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS]
1995,YR1995,China,CHN,38.23959145,..,32.34096881
1995,YR1995,South Africa,ZAF,34.00511394,..,15.70242398
1996,YR1996,Brazil,BRA,12.31476303,..,18.64065378
1996,YR1996,Russian Federation,RUS,40.27750182,0.965919971,20.00174218
1996,YR1996,India,IND,18.08286248,0.639050007,24.52478712
1996,YR1996,China,CHN,33.56077916,0.563239992,31.64200474
1996,YR1996,South Africa,ZAF,36.39110923,..,15.80493778
1997,YR1997,Brazil,BRA,13.27391075,..,19.12290113
1997,YR1997,Russian Federation,RUS,39.23601865,1.043740034,18.2923133
1997,YR1997,India,IND,18.38085167,0.686689973,25.35005215
1997,YR1997,China,CHN,33.8146142,0.63872999,31.0030962
1997,YR1997,South Africa,ZAF,37.8895349,0.526939988,16.15013229
1998,YR1998,Brazil,BRA,12.94322188,..,18.5423485
1998,YR1998,Russian Federation,RUS,48.88588954,0.953830004,16.1506041
1998,YR1998,India,IND,18.13617209,0.703790009,25.45876778
1998,YR1998,China,CHN,31.48006575,0.646889985,32.88259458
1998,YR1998,South Africa,ZAF,36.34652583,..,16.51397051
1999,YR1999,Brazil,BRA,16.63992782,..,17.01629422
1999,YR1999,Russian Federation,RUS,58.74620335,0.996230006,14.38661429
1999,YR1999,India,IND,18.01271192,0.724129975,27.53509242
1999,YR1999,China,CHN,32.96403515,0.749629974,32.53712589
1999,YR1999,South Africa,ZAF,35.24555999,..,14.84127552
2000,YR2000,Brazil,BRA,17.3563669,1.047510028,18.30448803
2000,YR2000,Russian Federation,RUS,57.71626735,1.04982996,16.86366886
2000,YR2000,India,IND,20.04761208,0.756990016,26.02178485
2000,YR2000,China,CHN,39.15500757,0.893159986,32.57741759
2000,YR2000,South Africa,ZAF,39.32580936,..,14.387055
2001,YR2001,Brazil,BRA,20.83435885,1.061980009,18.4180865
2001,YR2001,Russian Federation,RUS,50.76547581,1.176939964,18.88840427
2001,YR2001,India,IND,19.31295403,0.735909998,29.93230964
2001,YR2001,China,CHN,38.05066885,0.940330029,33.45352637
2001,YR2001,South Africa,ZAF,42.46181787,0.642239988,14.36330646
2002,YR2002,Brazil,BRA,21.60906655,1.009680033,17.92625082
2002,YR2002,Russian Federation,RUS,48.70661973,1.246520042,17.90591385
2002,YR2002,India,IND,20.53975634,0.72566998,28.33252481
2002,YR2002,China,CHN,42.21296581,1.057860017,35.05836605
2002,YR2002,South Africa,ZAF,45.69766564,..,14.0272853
2003,YR2003,Brazil,BRA,22.22796471,0.999390006,16.60475915
2003,YR2003,Russian Federation,RUS,49.26229136,1.286030054,18.41502839
2003,YR2003,India,IND,21.6424477,0.719290018,28.33482571
2003,YR2003,China,CHN,51.25567502,1.12037003,38.25768533
2003,YR2003,South Africa,ZAF,38.6917066,0.676500022,14.65691258
2004,YR2004,Brazil,BRA,24.37077204,0.963429987,17.32023332
2004,YR2004,Russian Federation,RUS,47.47564737,1.151329994,18.38529929
2004,YR2004,India,IND,24.87828661,0.756900012,30.70814142
2004,YR2004,China,CHN,59.04604843,1.214980006,39.52966373
2004,YR2004,South Africa,ZAF,38.94030875,0.726809978,15.16723896
2005,YR2005,Brazil,BRA,21.99972581,1.002460003,17.05618346
2005,YR2005,Russian Federation,RUS,48.32778539,1.067970037,17.7553986
2005,YR2005,India,IND,29.55770843,0.824109972,32.75533704
2005,YR2005,China,CHN,62.20166953,1.307919979,39.42581557
2005,YR2005,South Africa,ZAF,39.4402664,0.770240009,15.8783049
2006,YR2006,Brazil,BRA,21.18313269,0.988070011,17.21029957
2006,YR2006,Russian Federation,RUS,47.25900024,1.072939992,18.50340951
2006,YR2006,India,IND,31.92925739,0.804729998,33.58489158
2006,YR2006,China,CHN,63.96668237,1.368540049,38.7254881
2006,YR2006,South Africa,ZAF,45.05054853,0.80290997,17.36553956
2007,YR2007,Brazil,BRA,20.60869047,1.08138001,17.99576134
2007,YR2007,Russian Federation,RUS,44.46314175,1.116109967,20.99525445
2007,YR2007,India,IND,31.19237559,0.805069983,35.81287812
2007,YR2007,China,CHN,61.30622638,1.373690009,37.89246834
2007,YR2007,South Africa,ZAF,47.50671595,0.793640018,19.02161631
2008,YR2008,Brazil,BRA,22.38905928,1.129040003,19.38532955
2008,YR2008,Russian Federation,RUS,45.96850363,1.044350028,22.29046107
2008,YR2008,India,IND,43.02794992,0.858759999,34.71795935
2008,YR2008,China,CHN,55.79173055,1.445919991,39.06117809
2008,YR2008,South Africa,ZAF,57.70451198,0.805670023,21.61482222
2009,YR2009,Brazil,BRA,17.22679145,1.118659973,19.10195804
2009,YR2009,Russian Federation,RUS,40.50158758,1.251919985,21.9951347
2009,YR2009,India,IND,31.4564997,0.833140016,33.95162693
2009,YR2009,China,CHN,43.27065175,1.664800048,43.81157102
2009,YR2009,South Africa,ZAF,41.16128236,0.749930024,19.49086497
2010,YR2010,Brazil,BRA,17.82014097,1.159919977,20.53467365
2010,YR2010,Russian Federation,RUS,42.57701378,1.130200028,21.62538431
2010,YR2010,India,IND,34.41028048,0.788489997,33.23001466
2010,YR2010,China,CHN,48.85669983,1.713719964,43.92930477
2010,YR2010,South Africa,ZAF,45.0882395,0.662840009,17.56163572
2011,YR2011,Brazil,BRA,18.8204357,1.139660001,20.6089642
2011,YR2011,Russian Federation,RUS,41.34281212,1.015450001,21.32165552
2011,YR2011,India,IND,42.09244013,0.755020022,34.31341623
2011,YR2011,China,CHN,48.22674911,1.780339956,43.86136146
