Time,Time Code,Country Name,Country Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS]
1991,YR1991,India,IND,4.7016E+11,24.58433379,..,14.13337468
1991,YR1991,China,CHN,1.12254E+12,25.70379885,..,32.8275425
1991,YR1991,South Africa,ZAF,1.83275E+11,17.86119891,..,31.1441185
1992,YR1992,Brazil,BRA,9.21637E+11,18.42325903,..,15.082041
1992,YR1992,Russian Federation,RUS,9.4261E+11,23.93477117,..,17.98342346
1992,YR1992,India,IND,4.95936E+11,25.08949989,..,14.99159963
1992,YR1992,China,CHN,1.28222E+12,30.34731964,..,33.56572571
1992,YR1992,South Africa,ZAF,1.79358E+11,16.36878133,..,29.38155342
1993,YR1993,Brazil,BRA,9.67024E+11,19.28311611,..,15.09437951
1993,YR1993,Russian Federation,RUS,8.609E+11,20.38948166,..,18.48655729
1993,YR1993,India,IND,5.19496E+11,23.66775629,..,15.88281098
1993,YR1993,China,CHN,1.46024E+12,37.09223299,..,31.6102768
1993,YR1993,South Africa,ZAF,1.81571E+11,14.74811687,..,30.03707723
1994,YR1994,Brazil,BRA,1.02362E+12,20.74808454,..,14.59770363
1994,YR1994,Russian Federation,RUS,7.52687E+11,21.81088825,..,29.82479622
1994,YR1994,India,IND,5.54089E+11,23.35888821,..,15.84750058
1994,YR1994,China,CHN,1.65061E+12,34.44061642,..,41.93014999
1994,YR1994,South Africa,ZAF,1.87381E+11,14.98891274,..,31.70486616
1995,YR1995,Brazil,BRA,1.06686E+12,20.28629762,..,13.08185055
1995,YR1995,Russian Federation,RUS,7.21499E+11,21.07772781,..,36.66456789
1995,YR1995,India,IND,5.96059E+11,25.1369225,..,18.1349655
1995,YR1995,China,CHN,1.83142E+12,32.34096881,..,38.23959145
1995,YR1995,South Africa,ZAF,1.9319E+11,15.70242398,..,34.00511394
1996,YR1996,Brazil,BRA,1.09042E+12,18.64065378,..,12.31476303
1996,YR1996,Russian Federation,RUS,6.94406E+11,20.00174218,0.965919971,40.27750182
